id,name,regime_id/id,description
compliance_code_eu_223013,0A001.i.1,product_trade_compliance.regime_eu_dual,"Steam generators specially designed or prepared for the primary, or intermediate, coolant circuit of a ""nuclear reactor"";"
compliance_code_eu_223014,0A001.i.2,product_trade_compliance.regime_eu_dual,"Other heat exchangers specially designed or prepared for use in the primary coolant circuit of a ""nuclear reactor"";"
compliance_code_eu_223015,0A001.j.,product_trade_compliance.regime_eu_dual,"Neutron detectors specially designed or prepared for determining neutron flux levels within the core of a ""nuclear reactor"";"
compliance_code_eu_223016,0A001.k.,product_trade_compliance.regime_eu_dual,"‘External thermal shields’ specially designed or prepared for use in a ""nuclear reactor"" for the reduction of heat loss and also for the containment vessel protection."
compliance_code_eu_223017,0B,product_trade_compliance.regime_eu_dual,"Test, Inspection and Production Equipment"
compliance_code_eu_223018,0B001,product_trade_compliance.regime_eu_dual,"Plant for the separation of isotopes of ""natural uranium"", ""depleted uranium"" or ""special fissile materials"", and specially designed or prepared equipment and components therefor, as follows:"
compliance_code_eu_223019,0B001.a.,product_trade_compliance.regime_eu_dual,"Plant specially designed for separating isotopes of ""natural uranium"", ""depleted uranium"", or ""special fissile materials"", as follows:"
compliance_code_eu_223020,0B001.a.1.,product_trade_compliance.regime_eu_dual,Gas centrifuge separation plant;
compliance_code_eu_223021,0B001.a.2.,product_trade_compliance.regime_eu_dual,Gaseous diffusion separation plant;
compliance_code_eu_223022,0B001.a.3.,product_trade_compliance.regime_eu_dual,Aerodynamic separation plant;
compliance_code_eu_223023,0B001.a.4.,product_trade_compliance.regime_eu_dual,Chemical exchange separation plant;
compliance_code_eu_223024,0B001.a.5.,product_trade_compliance.regime_eu_dual,Ion-exchange separation plant;
compliance_code_eu_223025,0B001.a.6.,product_trade_compliance.regime_eu_dual,"Atomic vapour ""laser"" isotope separation plant;"
compliance_code_eu_223026,0B001.a.7.,product_trade_compliance.regime_eu_dual,"Molecular ""laser"" isotope separation plant;"
compliance_code_eu_223027,0B001.a.8.,product_trade_compliance.regime_eu_dual,Plasma separation plant;
compliance_code_eu_223028,0B001.a.9.,product_trade_compliance.regime_eu_dual,Electro magnetic separation plant;
compliance_code_eu_223029,0B001.b.,product_trade_compliance.regime_eu_dual,"Gas centrifuges and assemblies and components, specially designed or prepared for gas centrifuge separation process, as follows:"
compliance_code_eu_223030,0B001.b.1.,product_trade_compliance.regime_eu_dual,Gas centrifuges;
compliance_code_eu_223031,0B001.b.2.,product_trade_compliance.regime_eu_dual,Complete rotor assemblies;
compliance_code_eu_223032,0B001.b.3.,product_trade_compliance.regime_eu_dual,"Rotor tube cylinders with a wall thickness of 12 mm or less, a diameter of between 75 mm and 650 mm, made from ‘high strength-to-density ratio materials’;"
compliance_code_eu_223033,0B001.b.4.,product_trade_compliance.regime_eu_dual,"Rings or bellows with a wall thickness of 3 mm or less and a diameter of between 75 mm and 650 mm and designed to give local support to a rotor tube or to join a number together, made from ‘high strength-to-density ratio materials’;"
compliance_code_eu_223034,0B001.b.5.,product_trade_compliance.regime_eu_dual,"Baffles of between 75 mm and 650 mm diameter for mounting inside a rotor tube, made from ‘high strength-to-density ratio materials’;"
compliance_code_eu_223035,0B001.b.6.,product_trade_compliance.regime_eu_dual,"Top or bottom caps of between 75 mm and 650 mm diameter to fit the ends of a rotor tube, made from ‘high strength-to-density ratio materials’;"
compliance_code_eu_223036,0B001.b.7.,product_trade_compliance.regime_eu_dual,Magnetic suspension bearings as follows:
compliance_code_eu_223037,0B001.b.7.a.,product_trade_compliance.regime_eu_dual,"Bearing assemblies consisting of an annular magnet suspended within a housing made of or protected by ""materials resistant to corrosion by UF6"" containing a damping medium and having the magnet coupling with a pole piece or second magnet fitted to the top cap of the rotor;"
compliance_code_eu_223038,0B001.b.7.b.,product_trade_compliance.regime_eu_dual,Active magnetic bearings specially designed or prepared for use with gas centrifuges;
compliance_code_eu_223039,0B001.b.8.,product_trade_compliance.regime_eu_dual,Specially prepared bearings comprising a pivot-cup assembly mounted on a damper;
compliance_code_eu_223040,0B001.b.9.,product_trade_compliance.regime_eu_dual,Molecular pumps comprised of cylinders having internally machined or extruded helical grooves and internally machined bores;
compliance_code_eu_223041,0B001.b.10.,product_trade_compliance.regime_eu_dual,Ring-shaped motor stators for multiphase AC hysteresis (or reluctance) motors for synchronous operation within a vacuum at a frequency of 600 Hz or more and a power of 40 VA or more;
compliance_code_eu_223042,0B001.b.11.,product_trade_compliance.regime_eu_dual,"Centrifuge housing/recipients to contain the rotor tube assembly of a gas centrifuge, consisting of a rigid cylinder of wall thickness up to 30 mm with precision machined ends that are parallel to each other and perpendicular to the cylinder’s longitudinal axis to within 0,05° or less;"
compliance_code_eu_223043,0B001.b.12.,product_trade_compliance.regime_eu_dual,Scoops consisting of specially designed or prepared tubes for the extraction of UF6 gas from within the rotor tube by a Pitot tube action and capable of being fixed to the central gas extraction system;
compliance_code_eu_223044,0B001.b.13.,product_trade_compliance.regime_eu_dual,"Frequency changers (converters or inverters) specially designed or prepared to supply motor stators for gas centrifuge enrichment, having all of the following characteristics, and specially designed components therefor: a. A multiphase frequency output of 600 Hz or greater; and b. High stability (with frequency control better than 0,2 %);"
compliance_code_eu_223045,0B001.b.14.,product_trade_compliance.regime_eu_dual,Shut-off and control valves as follows:
compliance_code_eu_223046,0B001.b.14.a.,product_trade_compliance.regime_eu_dual,"Shut-off valves specially designed or prepared to act on the feed, product or tails UF6 gaseous streams of an individual gas centrifuge;"
compliance_code_eu_223047,0B001.b.14.b.,product_trade_compliance.regime_eu_dual,"Bellows-sealed valves, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"", with an inside diameter of 10 mm to 160 mm, specially designed or prepared for use in main or auxiliary systems of gas centrifuge enrichment plants;"
compliance_code_eu_223048,0B001.c.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for gaseous diffusion separation process, as follows:"
compliance_code_eu_223049,0B001.c.1.,product_trade_compliance.regime_eu_dual,"Gaseous diffusion barriers made of porous metallic, polymer or ceramic ""materials resistant to corrosion by UF6"" with a pore size of 10 to 100 nm, a thickness of 5 mm or less, and, for tubular forms, a diameter of 25 mm or less;"
compliance_code_eu_223050,0B001.c.2.,product_trade_compliance.regime_eu_dual,"Gaseous diffuser housings made of or protected by ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223051,0B001.c.3.,product_trade_compliance.regime_eu_dual,"Compressors or gas blowers with a suction volume capacity of 1 m^3/min or more of UF6, with a discharge pressure up to 500 kPa, and having a pressure ratio of 10:1 or less, and made of or protected by ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223052,0B001.c.4.,product_trade_compliance.regime_eu_dual,Rotary shaft seals for compressors or blowers specified in 0B001.c.3. and designed for a buffer gas in-leakage rate of less than 1 000 cm^3/min.;
compliance_code_eu_223053,0B001.c.5.,product_trade_compliance.regime_eu_dual,"Heat exchangers made of or protected by ""materials resistant to corrosion by UF6"", and designed for a leakage pressure rate of less than 10 Pa per hour under a pressure differential of 100 kPa;"
compliance_code_eu_223054,0B001.c.6.,product_trade_compliance.regime_eu_dual,"Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223055,0B001.d.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for aerodynamic separation process, as follows:"
compliance_code_eu_223056,0B001.d.1.,product_trade_compliance.regime_eu_dual,"Separation nozzles consisting of slit-shaped, curved channels having a radius of curvature less than 1 mm, resistant to corrosion by UF6, and having a knife-edge contained within the nozzle which separates the gas flowing through the nozzle into two streams;"
compliance_code_eu_223057,0B001.d.2.,product_trade_compliance.regime_eu_dual,"Cylindrical or conical tubes, (vortex tubes), made of or protected by ""materials resistant to corrosion by UF6"" and with one or more tangential inlets;"
compliance_code_eu_223058,0B001.d.3.,product_trade_compliance.regime_eu_dual,"Compressors or gas blowers made of or protected by ""materials resistant to corrosion by UF6"", and rotary shaft seals therefor;"
compliance_code_eu_223059,0B001.d.4.,product_trade_compliance.regime_eu_dual,"Heat exchangers made of or protected by ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223060,0B001.d.5.,product_trade_compliance.regime_eu_dual,"Separation element housings, made of or protected by ""materials resistant to corrosion by UF6"" to contain vortex tubes or separation nozzles;"
compliance_code_eu_223061,0B001.d.6.,product_trade_compliance.regime_eu_dual,"Bellows-sealed valves, manual or automated, shut-off or control, made of or protected by ""materials resistant to corrosion by UF6"", with a diameter of 40 mm or more;"
compliance_code_eu_223062,0B001.d.7.,product_trade_compliance.regime_eu_dual,"Process systems for separating UF6 from carrier gas (hydrogen or helium) to 1 ppm UF6 content or less, including:"
compliance_code_eu_223063,0B001.d.7.a.,product_trade_compliance.regime_eu_dual,Cryogenic heat exchangers and cryoseparators capable of temperatures of 153 K (– 120°C) or less;
compliance_code_eu_223064,0B001.d.7.b.,product_trade_compliance.regime_eu_dual,Cryogenic refrigeration units capable of temperatures of 153 K (– 120 °C) or less;
compliance_code_eu_223065,0B001.d.7.c.,product_trade_compliance.regime_eu_dual,Separation nozzle or vortex tube units for the separation of UF6 from carrier gas;
compliance_code_eu_223066,0B001.d.7.d.,product_trade_compliance.regime_eu_dual,UF6 cold traps capable of freezing out UF6;
compliance_code_eu_223067,0B001.e.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for chemical exchange separation process, as follows:"
compliance_code_eu_223068,0B001.e.1.,product_trade_compliance.regime_eu_dual,Fast-exchange liquid-liquid pulse columns with stage residence time of 30 s or less and resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials such as fluorinated hydrocarbon polymers or glass);
compliance_code_eu_223069,0B001.e.2.,product_trade_compliance.regime_eu_dual,Fast-exchange liquid-liquid centrifugal contactors with stage residence time of 30 s or less and resistant to concentrated hydrochloric acid (e.g. made of or protected by suitable plastic materials such as fluorinated hydrocarbon polymers or glass);
compliance_code_eu_223070,0B001.e.3.,product_trade_compliance.regime_eu_dual,"Electrochemical reduction cells resistant to concentrated hydrochloric acid solutions, for reduction of uranium from one valence state to another;"
compliance_code_eu_223071,0B001.e.4.,product_trade_compliance.regime_eu_dual,"Electrochemical reduction cells feed equipment to take U^+4 from the organic stream and, for those parts in contact with the process stream, made of or protected by suitable materials (e.g. glass, fluorocarbon polymers, polyphenyl sulphate, polyether sulfone and resin-impregnated graphite);"
compliance_code_eu_223072,0B001.e.5.,product_trade_compliance.regime_eu_dual,"Feed preparation systems for producing high purity uranium chloride solution consisting of dissolution, solvent extraction and/or ion exchange equipment for purification and electrolytic cells for reducing the uranium U^+6 or U^+4 to U^+3;"
compliance_code_eu_223073,0B001.e.6.,product_trade_compliance.regime_eu_dual,Uranium oxidation systems for oxidation of U^+3 to U^+4;
compliance_code_eu_223074,0B001.f.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for ion-exchange separation process, as follows:"
compliance_code_eu_223075,0B001.f.1.,product_trade_compliance.regime_eu_dual,"Fast reacting ion-exchange resins, pellicular or porous macro-reticulated resins in which the active chemical exchange groups are limited to a coating on the surface of an inactive porous support structure, and other composite structures in any suitable form, including particles or fibres, with diameters of 0,2 mm or less, resistant to concentrated hydrochloric acid and designed to have an exchange rate half-time of less than 10 s and capable of operating at temperatures in the range of 373 K (100 °C) to 473 K (200 °C);"
compliance_code_eu_223076,0B001.f.2.,product_trade_compliance.regime_eu_dual,"Ion exchange columns (cylindrical) with a diameter greater than 1 000 mm, made of or protected by materials resistant to concentrated hydrochloric acid (e.g. titanium or fluorocarbon plastics) and capable of operating at temperatures in the range of 373 K (100 °C) to 473 K (200 °C) and pressures above 0,7 MPa;"
compliance_code_eu_223077,0B001.f.3.,product_trade_compliance.regime_eu_dual,Ion exchange reflux systems (chemical or electrochemical oxidation or reduction systems) for regeneration of the chemical reducing or oxidizing agents used in ion exchange enrichment cascades;
compliance_code_eu_223078,0B001.g.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for laser-based separation processes using atomic vapour laser isotope separation, as follows:"
compliance_code_eu_223079,0B001.g.1.,product_trade_compliance.regime_eu_dual,Uranium metal vaporization systems designed to achieve a delivered power of 1 kW or more on the target for use in laser enrichment;
compliance_code_eu_223080,0B001.g.2.,product_trade_compliance.regime_eu_dual,"Liquid or vapour uranium metal handling systems specially designed or prepared for handling molten uranium, molten uranium alloys or uranium metal vapour for use in laser enrichment, and specially designed components therefor;"
compliance_code_eu_223081,0B001.g.3.,product_trade_compliance.regime_eu_dual,"Product and tails collector assemblies for collecting uranium metal in liquid or solid form, made of or protected by materials resistant to the heat and corrosion of uranium metal vapour or liquid, such as yttria-coated graphite or tantalum;"
compliance_code_eu_223082,0B001.g.4.,product_trade_compliance.regime_eu_dual,"Separator module housings (cylindrical or rectangular vessels) for containing the uranium metal vapour source, the electron beam gun and the product and tails collectors;"
compliance_code_eu_223083,0B001.g.5.,product_trade_compliance.regime_eu_dual,"""Lasers"" or ""laser"" systems specially designed or prepared for the separation of uranium isotopes with a spectrum frequency stabilisation for operation over extended periods of time;"
compliance_code_eu_223084,0B001.h.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for laser-based separation processes using molecular laser isotope separation, as follows:"
compliance_code_eu_223085,0B001.h.1.,product_trade_compliance.regime_eu_dual,"Supersonic expansion nozzles for cooling mixtures of UF6 and carrier gas to 150 K (– 123 °C) or less and made from ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223086,0B001.h.2.,product_trade_compliance.regime_eu_dual,"Product or tails collector components or devices specially designed or prepared for collecting uranium material or uranium tails material following illumination with laser light, made of ""materials resistant to corrosion by UF6"";"
compliance_code_eu_223087,0B001.h.3.,product_trade_compliance.regime_eu_dual,"Compressors made of or protected by ""materials resistant to corrosion by UF6"", and rotary shaft seals therefor;"
compliance_code_eu_223088,0B001.h.4.,product_trade_compliance.regime_eu_dual,Equipment for fluorinating UF5 (solid) to UF6 (gas);
compliance_code_eu_223089,0B001.h.5.,product_trade_compliance.regime_eu_dual,"Process systems for separating UF6 from carrier gas (e.g. nitrogen, argon or other gas) including:"
compliance_code_eu_223090,0B001.h.5.a.,product_trade_compliance.regime_eu_dual,Cryogenic heat exchangers and cryoseparators capable of temperatures of 153 K (– 120 °C) or less;
compliance_code_eu_223091,0B001.h.5.b.,product_trade_compliance.regime_eu_dual,Cryogenic refrigeration units capable of temperatures of 153 K (– 120 °C) or less;
compliance_code_eu_223092,0B001.h.5.c.,product_trade_compliance.regime_eu_dual,UF6 cold traps capable of freezing out UF6;
compliance_code_eu_223093,0B001.h.6.,product_trade_compliance.regime_eu_dual,"""Lasers"" or ""laser"" systems specially designed or prepared for the separation of uranium isotopes with a spectrum frequency stabilisation for operation over extended periods of time;"
compliance_code_eu_223094,0B001.i.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for plasma separation process, as follows:"
compliance_code_eu_223095,0B001.i.1.,product_trade_compliance.regime_eu_dual,"Microwave power sources and antennae for producing or accelerating ions, with an output frequency greater than 30 GHz and mean power output greater than 50 kW;"
compliance_code_eu_223096,0B001.i.2.,product_trade_compliance.regime_eu_dual,Radio frequency ion excitation coils for frequencies of more than 100 kHz and capable of handling more than 40 kW mean power;
compliance_code_eu_223097,0B001.i.3.,product_trade_compliance.regime_eu_dual,Uranium plasma generation systems;
compliance_code_eu_223098,0B001.i.4.,product_trade_compliance.regime_eu_dual,Not used;
compliance_code_eu_223099,0B001.i.5.,product_trade_compliance.regime_eu_dual,"Product and tails collector assemblies for uranium metal in solid form, made of or protected by materials resistant to the heat and corrosion of uranium vapour such as yttria-coated graphite or tantalum;"
compliance_code_eu_223100,0B001.i.6.,product_trade_compliance.regime_eu_dual,"Separator module housings (cylindrical) for containing the uranium plasma source, radio-frequency drive coil and the product and tails collectors and made of a suitable non-magnetic material (e.g. stainless steel);"
compliance_code_eu_223101,0B001.j.,product_trade_compliance.regime_eu_dual,"Equipment and components, specially designed or prepared for electromagnetic separation process, as follows:"
compliance_code_eu_223102,0B001.j.1.,product_trade_compliance.regime_eu_dual,"Ion sources, single or multiple, consisting of a vapour source, ioniser, and beam accelerator made of suitable non-magnetic materials (e.g. graphite, stainless steel, or copper) and capable of providing a total ion beam current of 50 mA or greater;"
compliance_code_eu_223103,0B001.j.2.,product_trade_compliance.regime_eu_dual,"Ion collector plates for collection of enriched or depleted uranium ion beams, consisting of two or more slits and pockets and made of suitable non-magnetic materials (e.g. graphite or stainless steel);"
compliance_code_eu_223104,0B001.j.3.,product_trade_compliance.regime_eu_dual,"Vacuum housings for uranium electromagnetic separators made of non-magnetic materials (e.g. stainless steel) and designed to operate at pressures of 0,1 Pa or lower;"
compliance_code_eu_223105,0B001.j.4.,product_trade_compliance.regime_eu_dual,Magnet pole pieces with a diameter greater than 2 m;
compliance_code_eu_223106,0B001.j.5.,product_trade_compliance.regime_eu_dual,"High voltage power supplies for ion sources, having all of the following characteristics: a. Capable of continuous operation; b. Output voltage of 20 000 V or greater; c. Output current of 1 A or greater; and d. Voltage regulation of better than 0,01 % over a period of 8 hours;"
compliance_code_eu_223107,0B001.j.6.,product_trade_compliance.regime_eu_dual,"Magnet power supplies (high power, direct current) having all of the following characteristics: a. Capable of continuous operation with a current output of 500 A or greater at a voltage of 100 V or greater; and b. Current or voltage regulation better than 0,01 % over a period of 8 hours."
compliance_code_eu_223108,0B002,product_trade_compliance.regime_eu_dual,"Specially designed or prepared auxiliary systems, equipment and components as follows, for isotope separation plant specified in 0B001, made of or protected by ""materials resistant to corrosion by UF6"":"
compliance_code_eu_223109,0B002.a.,product_trade_compliance.regime_eu_dual,"Feed autoclaves, ovens or systems used for passing UF6 to the enrichment process;"
compliance_code_eu_223110,0B002.b.,product_trade_compliance.regime_eu_dual,"Desublimers or cold traps, used to remove UF6 from the enrichment process for subsequent transfer upon heating;"
compliance_code_eu_223111,0B002.c.,product_trade_compliance.regime_eu_dual,Product and tails stations for transferring UF6 into containers;
compliance_code_eu_223112,0B002.d.,product_trade_compliance.regime_eu_dual,"Liquefaction or solidification stations used to remove UF6 from the enrichment process by compressing, cooling and converting UF6 to a liquid or solid form;"
compliance_code_eu_223113,0B002.e.,product_trade_compliance.regime_eu_dual,"Piping systems and header systems specially designed or prepared for handling UF6 within gaseous diffusion, centrifuge or aerodynamic cascades;"
compliance_code_eu_223114,0B002.f.,product_trade_compliance.regime_eu_dual,Vacuum systems and pumps as follows:
compliance_code_eu_223115,0B002.f.1.,product_trade_compliance.regime_eu_dual,"Vacuum manifolds, vacuum headers or vacuum pumps having a suction capacity of 5 m^3/minute or more;"
compliance_code_eu_223116,0B002.f.2.,product_trade_compliance.regime_eu_dual,"Vacuum pumps specially designed for use in UF6 bearing atmospheres made of, or protected by, ""materials resistant to corrosion by UF6""; or"
compliance_code_eu_223117,0B002.f.3.,product_trade_compliance.regime_eu_dual,"Vacuum systems consisting of vacuum manifolds, vacuum headers and vacuum pumps, and designed for service in UF6-bearing atmospheres;"
compliance_code_eu_223118,0B002.g.,product_trade_compliance.regime_eu_dual,"UF6 mass spectrometers/ion sources capable of taking on-line samples from UF6 gas streams and having all of the following characteristics: 1. Capable of measuring ions of 320 atomic mass units or greater and having a resolution of better than 1 part in 320; 2. Ion sources constructed of or protected by nickel, nickel-copper alloys with a nickel content of 60 % or more by weight, or nickel-chrome alloys; 3. Electron bombardment ionisation sources; and 4. Having a collector system suitable for isotopic analysis."
compliance_code_eu_223119,0B003,product_trade_compliance.regime_eu_dual,"Plant for the conversion of uranium and equipment specially designed or prepared therefor, as follows:"
compliance_code_eu_223120,0B003.a.,product_trade_compliance.regime_eu_dual,Systems for the conversion of uranium ore concentrates to UO3;
compliance_code_eu_223121,0B003.b.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UO3 to UF6;
compliance_code_eu_223122,0B003.c.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UO3 to UO2;
compliance_code_eu_223123,0B003.d.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UO2 to UF4;
compliance_code_eu_223124,0B003.e.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UF4 to UF6;
compliance_code_eu_223125,0B003.f.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UF4 to uranium metal;
compliance_code_eu_223126,0B003.g.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UF6 to UO2;
compliance_code_eu_223127,0B003.h.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UF6 to UF4;
compliance_code_eu_223128,0B003.i.,product_trade_compliance.regime_eu_dual,Systems for the conversion of UO2 to UCl4.
compliance_code_eu_223129,0B004,product_trade_compliance.regime_eu_dual,"Plant for the production or concentration of heavy water, deuterium and deuterium compounds and specially designed or prepared equipment and components therefor, as follows:"
compliance_code_eu_223130,0B004.a.,product_trade_compliance.regime_eu_dual,"Plant for the production of heavy water, deuterium or deuterium compounds, as follows:"
compliance_code_eu_223131,0B004.a.1.,product_trade_compliance.regime_eu_dual,Water-hydrogen sulphide exchange plants;
compliance_code_eu_223132,0B004.a.2.,product_trade_compliance.regime_eu_dual,Ammonia-hydrogen exchange plants;
compliance_code_eu_223133,0B004.a.3.,product_trade_compliance.regime_eu_dual,Combined  Electrolysis and Catalytic Exchange (CECE) plants;
compliance_code_eu_223134,0B004.a.4.,product_trade_compliance.regime_eu_dual,Combined Industrial Reforming and Catalytic Exchange (CIRCE) plants;
compliance_code_eu_223135,0B004.a.5.,product_trade_compliance.regime_eu_dual,Bithermal Hydrogen-Water exchange (BHW) plants;
compliance_code_eu_223136,0B004.b.,product_trade_compliance.regime_eu_dual,"Equipment and components, as follows:"
compliance_code_eu_223137,0B004.b.1.,product_trade_compliance.regime_eu_dual,"Water-hydrogen sulphide exchange towers with diameters of 1,5 m or more, capable of operating at pressures greater than or equal to 2 MPa;"
compliance_code_eu_223138,0B004.b.2.,product_trade_compliance.regime_eu_dual,"Single stage, low head (i.e., 0,2 MPa) centrifugal blowers or compressors for hydrogen sulphide gas circulation (i.e., gas containing more than 70 % by weight hydrogen sulphide, H2S) with a throughput capacity greater than or equal to 5 m^3/s when operating at pressures greater than or equal to 1,8 MPa suction and having seals designed for wet H2S service;"
compliance_code_eu_223139,0B004.b.3.,product_trade_compliance.regime_eu_dual,"Ammonia-hydrogen exchange towers greater than or equal to 35 m in height with diameters of 1,5 m or greater capable of operating at pressures greater than 15 MPa;"
compliance_code_eu_223140,0B004.b.4.,product_trade_compliance.regime_eu_dual,"Tower internals, including stage contactors, and stage pumps, including those which are submersible, for heavy water production utilising the ammonia-hydrogen exchange process;"
compliance_code_eu_223141,0B004.b.5.,product_trade_compliance.regime_eu_dual,Ammonia crackers with operating pressures greater than or equal to 3 MPa for heavy water production utilising the ammonia-hydrogen exchange process;
compliance_code_eu_223142,0B004.b.6.,product_trade_compliance.regime_eu_dual,Not used;
compliance_code_eu_223143,0B004.b.7.,product_trade_compliance.regime_eu_dual,Catalytic burners for the conversion of enriched deuterium gas into heavy water utilising the ammonia-hydrogen exchange process;
compliance_code_eu_223144,0B004.b.8.,product_trade_compliance.regime_eu_dual,"Complete heavy water finishing  units, upgrade systems, or columns with diameters of 0.1 m or greater therefor, for the upgrade of heavy water to reactor-grade deuterium concentration"
compliance_code_eu_223145,0B004.b.9.,product_trade_compliance.regime_eu_dual,Ammonia synthesis converters or synthesis units specially designed or prepared for heavy water production utilising the ammonia-hydrogen exchange process.
compliance_code_eu_223146,0B004.b.10.,product_trade_compliance.regime_eu_dual,Complete columns  or towers specially designed or prepared for hydrogen isotope exchange having all of the following: 1. Packed with random or structured wet-proofed platinised catalysts; 2. Constructed of carbon steel or stainless steel; 3. Capable of operating with pressure in the range of 0.1 to 4 MPa; and 4. Capable of operating at temperatures in the range of 293 K (20°C) to 473 K (200°C).
