id,name,regime_id/id,description
compliance_code_us_ear99,EAR99,product_trade_compliance.regime_us_ear,Items not otherwise specified - Low-level controls
compliance_code_us_0a001,0A001,product_trade_compliance.regime_us_ear,Nuclear reactors and specially designed equipment
compliance_code_us_1c010,1C010,product_trade_compliance.regime_us_ear,"Fibrous or filamentary materials (carbon, glass, aramid)"
compliance_code_us_3a001,3A001,product_trade_compliance.regime_us_ear,Electronic components and specially designed components
compliance_code_us_3a002,3A002,product_trade_compliance.regime_us_ear,General purpose electronic equipment
compliance_code_us_3a991,3A991,product_trade_compliance.regime_us_ear,Electronic devices not controlled by 3A001
compliance_code_us_3a992,3A992,product_trade_compliance.regime_us_ear,General purpose electronic equipment
compliance_code_us_4a003,4A003,product_trade_compliance.regime_us_ear,Digital computers and related equipment
compliance_code_us_4a994,4A994,product_trade_compliance.regime_us_ear,Computers not controlled by 4A003
compliance_code_us_4d994,4D994,product_trade_compliance.regime_us_ear,Software for computers
compliance_code_us_5a002,5A002,product_trade_compliance.regime_us_ear,Information security systems and equipment
compliance_code_us_5a992,5A992,product_trade_compliance.regime_us_ear,Telecommunications equipment
compliance_code_us_5d002,5D002,product_trade_compliance.regime_us_ear,Software for information security
compliance_code_us_5d992,5D992,product_trade_compliance.regime_us_ear,Software for telecommunications
compliance_code_us_6a003,6A003,product_trade_compliance.regime_us_ear,Cameras and optical sensors
compliance_code_us_6a993,6A993,product_trade_compliance.regime_us_ear,Cameras and equipment
compliance_code_us_7a003,7A003,product_trade_compliance.regime_us_ear,Inertial navigation systems and components
compliance_code_us_7a994,7A994,product_trade_compliance.regime_us_ear,Navigation equipment
compliance_code_us_8a002,8A002,product_trade_compliance.regime_us_ear,Marine systems and equipment
compliance_code_us_9a004,9A004,product_trade_compliance.regime_us_ear,Airborne equipment
compliance_code_us_9a991,9A991,product_trade_compliance.regime_us_ear,Aircraft and related equipment
compliance_code_eu_223000,ROOT,product_trade_compliance.regime_eu_dual,Annex I
compliance_code_eu_223001,0,product_trade_compliance.regime_eu_dual,"CATEGORY 0 - NUCLEAR MATERIALS, FACILITIES AND EQUIPMENT"
compliance_code_eu_223002,0A,product_trade_compliance.regime_eu_dual,"Systems, Equipment and Components"
compliance_code_eu_223003,0A001,product_trade_compliance.regime_eu_dual,"""Nuclear reactors"" and specially designed or prepared equipment and components therefor, as follows:"
compliance_code_eu_223004,0A001.a.,product_trade_compliance.regime_eu_dual,"""Nuclear reactors"";"
compliance_code_eu_223005,0A001.b.,product_trade_compliance.regime_eu_dual,"Metal vessels, or major shop-fabricated parts therefor, including the reactor vessel head for a reactor pressure vessel, specially designed or prepared to contain the core of a ""nuclear reactor"";"
compliance_code_eu_223006,0A001.c.,product_trade_compliance.regime_eu_dual,"Manipulative equipment specially designed or prepared for inserting or removing fuel in a ""nuclear reactor"";"
compliance_code_eu_223007,0A001.d.,product_trade_compliance.regime_eu_dual,"Control rods specially designed or prepared for the control of the fission process in a ""nuclear reactor"", support or suspension structures therefor, rod drive mechanisms and rod guide tubes;"
compliance_code_eu_223008,0A001.e.,product_trade_compliance.regime_eu_dual,"Pressure tubes specially designed or prepared to contain both fuel elements and the primary coolant in a ""nuclear reactor"";"
compliance_code_eu_223009,0A001.f.,product_trade_compliance.regime_eu_dual,"Zirconium metal tubes or zirconium alloy tubes (or assembles of tubes) specially designed or prepared for use as fuel cladding in a ""nuclear reactor"", and in quantities exceeding 10 kg;"
compliance_code_eu_223010,0A001.g.,product_trade_compliance.regime_eu_dual,"Coolant pumps or circulators specially designed or prepared for circulating the primary coolant of ""nuclear reactors"";"
compliance_code_eu_223011,0A001.h.,product_trade_compliance.regime_eu_dual,"‘Nuclear reactor internals’ specially designed or prepared for use in a ""nuclear reactor"", including support columns for the core, fuel channels, calandria tubes, thermal shields, baffles, core grid plates, and diffuser plates;"
compliance_code_eu_223012,0A001.i.,product_trade_compliance.regime_eu_dual,Heat exchangers as follows:
