id,class_id:id,classification_code,label_ids:id,limited_quantity,limited_quantity_uom_id:id,name,packing_instruction_ids:id,transport_category,tunnel_restriction_code,un_number
adr_goods_0016_1dot3G_1/8_P130/LP101_1,adr_class_1,1.3G,"adr_label_1,adr_label_8",,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge, containing corrosive substances","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0016
adr_goods_0016_1dot3G_1/6dot1_P130/LP101_1,adr_class_1,1.3G,"adr_label_1,adr_label_6_1",,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0016
adr_goods_0018,adr_class_1,1.2G,"adr_label_1,adr_label_6_1,adr_label_8",,,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0018
adr_goods_0019,adr_class_1,1.3G,"adr_label_1,adr_label_6_1,adr_label_8",,,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0019
adr_goods_0020,adr_class_1,1.2K,,,,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",,CARRIAGE_PROHIBITED,CARRIAGE_PROHIBITED,0020
adr_goods_0021,adr_class_1,1.3K,,,,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge",,CARRIAGE_PROHIBITED,CARRIAGE_PROHIBITED,0021
adr_goods_0027,adr_class_1,1.1D,adr_label_1,,,"BLACK POWDER (GUNPOWDER), granular or as a meal",adr_packing_instruction_P113,1,B1000C,0027
adr_goods_0028,adr_class_1,1.1D,adr_label_1,,,"BLACK POWDER (GUNPOWDER), COMPRESSED or BLACK POWDER (GUNPOWDER), IN PELLETS",adr_packing_instruction_P113,1,B1000C,0028
adr_goods_0029,adr_class_1,1.1B,adr_label_1,,,"DETONATORS, NON-ELECTRIC for blasting",adr_packing_instruction_P131,1,B1000C,0029
adr_goods_0030,adr_class_1,1.1B,adr_label_1,,,"DETONATORS, ELECTRIC for blasting",adr_packing_instruction_P131,1,B1000C,0030
adr_goods_0033,adr_class_1,1.1F,adr_label_1,,,BOMBS with bursting charge,adr_packing_instruction_P130,1,B1000C,0033
adr_goods_0034,adr_class_1,1.1D,adr_label_1,,,BOMBS with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0034
adr_goods_0035,adr_class_1,1.2D,adr_label_1,,,BOMBS with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0035
adr_goods_0037,adr_class_1,1.1F,adr_label_1,,,"BOMBS, PHOTO-FLASH",adr_packing_instruction_P130,1,B1000C,0037
adr_goods_0038,adr_class_1,1.1D,adr_label_1,,,"BOMBS, PHOTO-FLASH","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0038
adr_goods_0039,adr_class_1,1.2G,adr_label_1,,,"BOMBS, PHOTO-FLASH","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0039
adr_goods_0042,adr_class_1,1.1D,adr_label_1,,,BOOSTERS without detonator,"adr_packing_instruction_P132a,adr_packing_instruction_P132b",1,B1000C,0042
adr_goods_0043,adr_class_1,1.1D,adr_label_1,,,"BURSTERS, explosive",adr_packing_instruction_P133,1,B1000C,0043
adr_goods_0044,adr_class_1,1.4S,adr_label_1_4,,,"PRIMERS, CAP TYPE",adr_packing_instruction_P133,4,E,0044
adr_goods_0048,adr_class_1,1.1D,adr_label_1,,,"CHARGES, DEMOLITION","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0048
adr_goods_0049,adr_class_1,1.1G,adr_label_1,,,"CARTRIDGES, FLASH",adr_packing_instruction_P135,1,B1000C,0049
adr_goods_0050,adr_class_1,1.3G,adr_label_1,,,"CARTRIDGES, FLASH",adr_packing_instruction_P135,1,C5000D,0050
adr_goods_0054,adr_class_1,1.3G,adr_label_1,,,"CARTRIDGES, SIGNAL",adr_packing_instruction_P135,1,C5000D,0054
adr_goods_0055,adr_class_1,1.4S,adr_label_1_4,5,uom.product_uom_kgm,"CASES, CARTRIDGE, EMPTY, WITH PRIMER",adr_packing_instruction_P136,4,E,0055
adr_goods_0056,adr_class_1,1.1D,adr_label_1,,,"CHARGES, DEPTH","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0056
adr_goods_0059,adr_class_1,1.1D,adr_label_1,,,"CHARGES, SHAPED without detonator",adr_packing_instruction_P137,1,B1000C,0059
adr_goods_0060,adr_class_1,1.1D,adr_label_1,,,"CHARGES, SUPPLEMENTARY, EXPLOSIVE","adr_packing_instruction_P132a,adr_packing_instruction_P132b",1,B1000C,0060
adr_goods_0065,adr_class_1,1.1D,adr_label_1,,,"CORD, DETONATING, flexible",adr_packing_instruction_P139,1,B1000C,0065
adr_goods_0066,adr_class_1,1.4G,adr_label_1_4,,,"CORD, IGNITER",adr_packing_instruction_P140,2,E,0066
adr_goods_0070,adr_class_1,1.4S,adr_label_1_4,,,"CUTTERS, CABLE, EXPLOSIVE","adr_packing_instruction_P134,adr_packing_instruction_LP102",4,E,0070
adr_goods_0072,adr_class_1,1.1D,adr_label_1,,,"CYCLOTRIMETHYLENE-TRINITRAMINE (CYCLONITE; HEXOGEN; RDX), WETTED with not less than 15% water, by mass",adr_packing_instruction_P112a,1,B1000C,0072
adr_goods_0073,adr_class_1,1.1B,adr_label_1,,,DETONATORS FOR AMMUNITION,adr_packing_instruction_P133,1,B1000C,0073
adr_goods_0074,adr_class_1,1.1A,adr_label_1,,,"DIAZODINITROPHENOL, WETTED with not less than 40% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P110b,0,B,0074
adr_goods_0075,adr_class_1,1.1D,adr_label_1,,,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED with not less than 25% non-volatile, water-insoluble phlegmatizer, by mass",adr_packing_instruction_P115,1,B1000C,0075
adr_goods_0076,adr_class_1,1.1D,"adr_label_1,adr_label_6_1",,,"DINITROPHENOL, dry or wetted with less than 15% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0076
adr_goods_0077,adr_class_1,1.3C,"adr_label_1,adr_label_6_1",,,"DINITROPHENOLATES, alkali metals, dry or wetted with less than 15% water, by mass","adr_packing_instruction_P114a,adr_packing_instruction_P114b",1,C5000D,0077
adr_goods_0078,adr_class_1,1.1D,adr_label_1,,,"DINITRORESORCINOL, dry or wetted with less than 15% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0078
adr_goods_0079,adr_class_1,1.1D,adr_label_1,,,HEXANITRODIPHENYL-AMINE (DIPICRYLAMINE; HEXYL),"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0079
adr_goods_0081,adr_class_1,1.1D,adr_label_1,,,"EXPLOSIVE, BLASTING, TYPE A",adr_packing_instruction_P116,1,B1000C,0081
adr_goods_0082,adr_class_1,1.1D,adr_label_1,,,"EXPLOSIVE, BLASTING, TYPE B","adr_packing_instruction_P116,adr_packing_instruction_IBC100",1,B1000C,0082
adr_goods_0083,adr_class_1,1.1D,adr_label_1,,,"EXPLOSIVE, BLASTING, TYPE C",adr_packing_instruction_P116,1,B1000C,0083
adr_goods_0084,adr_class_1,1.1D,adr_label_1,,,"EXPLOSIVE, BLASTING, TYPE D",adr_packing_instruction_P116,1,B1000C,0084
adr_goods_0092,adr_class_1,1.3G,adr_label_1,,,"FLARES, SURFACE",adr_packing_instruction_P135,1,C5000D,0092
adr_goods_0093,adr_class_1,1.3G,adr_label_1,,,"FLARES, AERIAL",adr_packing_instruction_P135,1,C5000D,0093
adr_goods_0094,adr_class_1,1.1G,adr_label_1,,,FLASH POWDER,adr_packing_instruction_P113,1,B1000C,0094
adr_goods_0099,adr_class_1,1.1D,adr_label_1,,,"FRACTURING DEVICES, EXPLOSIVE without detonator, for oil wells","adr_packing_instruction_P134,adr_packing_instruction_LP102",1,B1000C,0099
adr_goods_0101,adr_class_1,1.3G,adr_label_1,,,"FUSE, NON-DETONATING",adr_packing_instruction_P140,1,C5000D,0101
adr_goods_0102,adr_class_1,1.2D,adr_label_1,,,"CORD (FUSE), DETONATING, metal clad",adr_packing_instruction_P139,1,B1000C,0102
adr_goods_0103,adr_class_1,1.4G,adr_label_1_4,,,"FUSE, IGNITER, tubular, metal clad",adr_packing_instruction_P140,2,E,0103
adr_goods_0104,adr_class_1,1.4D,adr_label_1_4,,,"CORD (FUSE), DETONATING, MILD EFFECT, metal clad",adr_packing_instruction_P139,2,E,0104
adr_goods_0105,adr_class_1,1.4S,adr_label_1_4,,,"FUSE, SAFETY",adr_packing_instruction_P140,4,E,0105
adr_goods_0106,adr_class_1,1.1B,adr_label_1,,,"FUZES, DETONATING",adr_packing_instruction_P141,1,B1000C,0106
adr_goods_0107,adr_class_1,1.2B,adr_label_1,,,"FUZES, DETONATING",adr_packing_instruction_P141,1,B1000C,0107
adr_goods_0110,adr_class_1,1.4S,adr_label_1_4,,,"GRENADES, PRACTICE, hand or rifle",adr_packing_instruction_P141,4,E,0110
adr_goods_0113,adr_class_1,1.1A,adr_label_1,,,"GUANYLNITROSAMINO-GUANYLIDENE HYDRAZINE, WETTED with not less than 30% water, by mass",adr_packing_instruction_P110b,0,B,0113
adr_goods_0114,adr_class_1,1.1A,adr_label_1,,,"GUANYLNITROSAMINO-GUANYLTETRAZENE (TETRAZENE), WETTED with not less than 30% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P110b,0,B,0114
adr_goods_0118,adr_class_1,1.1D,adr_label_1,,,"HEXOLITE (HEXOTOL), dry or wetted with less than 15% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0118
adr_goods_0121,adr_class_1,1.1G,adr_label_1,,,IGNITERS,adr_packing_instruction_P142,1,B1000C,0121
adr_goods_0124,adr_class_1,1.1D,adr_label_1,,,"JET PERFORATING GUNS, CHARGED, oil well, without detonator",adr_packing_instruction_P101,1,B1000C,0124
adr_goods_0129,adr_class_1,1.1A,adr_label_1,,,"LEAD AZIDE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P110b,0,B,0129
adr_goods_0130,adr_class_1,1.1A,adr_label_1,,,"LEAD STYPHNATE (LEAD TRINITRORESORCINATE), WETTED with not less than 20% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P110b,0,B,0130
adr_goods_0131,adr_class_1,1.4S,adr_label_1_4,,,"LIGHTERS, FUSE",adr_packing_instruction_P142,4,E,0131
adr_goods_0132,adr_class_1,1.3C,adr_label_1,,,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S.","adr_packing_instruction_P114a,adr_packing_instruction_P114b",1,C5000D,0132
adr_goods_0133,adr_class_1,1.1D,adr_label_1,,,"MANNITOL HEXANITRATE (NITROMANNITE), WETTED with not less than 40% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P112a,1,B1000C,0133
adr_goods_0135,adr_class_1,1.1A,adr_label_1,,,"MERCURY FULMINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass",adr_packing_instruction_P110b,0,B,0135
adr_goods_0136,adr_class_1,1.1F,adr_label_1,,,MINES with bursting charge,adr_packing_instruction_P130,1,B1000C,0136
adr_goods_0137,adr_class_1,1.1D,adr_label_1,,,MINES with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0137
adr_goods_0138,adr_class_1,1.2D,adr_label_1,,,MINES with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0138
adr_goods_0143,adr_class_1,1.1D,"adr_label_1,adr_label_6_1",,,"NITROGLYCERIN, DESENSITIZED with not less than 40% non-volatile water-insoluble phlegmatizer, by mass",adr_packing_instruction_P115,1,B1000C,0143
adr_goods_0144,adr_class_1,1.1D,adr_label_1,,,NITROGLYCERIN SOLUTION IN ALCOHOL with more than 1% but not more than 10% nitroglycerin,adr_packing_instruction_P115,1,B1000C,0144
adr_goods_0146,adr_class_1,1.1D,adr_label_1,,,"NITROSTARCH, dry or wetted with less than 20% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0146
adr_goods_0147,adr_class_1,1.1D,adr_label_1,,,NITRO UREA,adr_packing_instruction_P112b,1,B1000C,0147
adr_goods_0150,adr_class_1,1.1D,adr_label_1,,,"PENTAERYTHRITE TETRANITRATE (PENTAERYTHRITOL TETRANITRATE; PETN), WETTED with not less than 25% water, by mass, or DESENSITIZED with not less than 15% phlegmatizer, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b",1,B1000C,0150
adr_goods_0151,adr_class_1,1.1D,adr_label_1,,,"PENTOLITE, dry or wetted with less than 15% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0151
adr_goods_0153,adr_class_1,1.1D,adr_label_1,,,TRINITROANILINE (PICRAMIDE),"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0153
adr_goods_0154,adr_class_1,1.1D,adr_label_1,,,"TRINITROPHENOL (PICRIC ACID), dry or wetted with less than 30% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0154
adr_goods_0155,adr_class_1,1.1D,adr_label_1,,,TRINITROCHLORO-BENZENE (PICRYL CHLORIDE),"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0155
adr_goods_0159,adr_class_1,1.3C,adr_label_1,,,"POWDER CAKE (POWDER PASTE), WETTED with not less than 25% water, by mass",adr_packing_instruction_P111,1,C5000D,0159
adr_goods_0160,adr_class_1,1.1C,adr_label_1,,,"POWDER, SMOKELESS",adr_packing_instruction_P114b,1,B1000C,0160
adr_goods_0161,adr_class_1,1.3C,adr_label_1,,,"POWDER, SMOKELESS",adr_packing_instruction_P114b,1,C5000D,0161
adr_goods_0167,adr_class_1,1.1F,adr_label_1,,,PROJECTILES with bursting charge,adr_packing_instruction_P130,1,B1000C,0167
adr_goods_0168,adr_class_1,1.1D,adr_label_1,,,PROJECTILES with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0168
adr_goods_0169,adr_class_1,1.2D,adr_label_1,,,PROJECTILES with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0169
adr_goods_0171,adr_class_1,1.2G,adr_label_1,,,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0171
adr_goods_0173,adr_class_1,1.4S,adr_label_1_4,,,"RELEASE DEVICES, EXPLOSIVE","adr_packing_instruction_P134,adr_packing_instruction_LP102",4,E,0173
adr_goods_0174,adr_class_1,1.4S,adr_label_1_4,,,"RIVETS, EXPLOSIVE","adr_packing_instruction_P134,adr_packing_instruction_LP102",4,E,0174
adr_goods_0180,adr_class_1,1.1F,adr_label_1,,,ROCKETS with bursting charge,adr_packing_instruction_P130,1,B1000C,0180
adr_goods_0181,adr_class_1,1.1E,adr_label_1,,,ROCKETS with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0181
adr_goods_0182,adr_class_1,1.2E,adr_label_1,,,ROCKETS with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0182
adr_goods_0183,adr_class_1,1.3C,adr_label_1,,,ROCKETS with inert head,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0183
adr_goods_0186,adr_class_1,1.3C,adr_label_1,,,ROCKET MOTORS,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0186
adr_goods_0190,adr_class_1,,,,,"SAMPLES, EXPLOSIVE, other than initiating explosive",adr_packing_instruction_P101,0,E,0190
adr_goods_0191,adr_class_1,1.4G,adr_label_1_4,,,"SIGNAL DEVICES, HAND",adr_packing_instruction_P135,2,E,0191
adr_goods_0192,adr_class_1,1.1G,adr_label_1,,,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",adr_packing_instruction_P135,1,B1000C,0192
adr_goods_0193,adr_class_1,1.4S,adr_label_1_4,,,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",adr_packing_instruction_P135,4,E,0193
adr_goods_0194,adr_class_1,1.1G,adr_label_1,,,"SIGNALS, DISTRESS, ship",adr_packing_instruction_P135,1,B1000C,0194
adr_goods_0195,adr_class_1,1.3G,adr_label_1,,,"SIGNALS, DISTRESS, ship",adr_packing_instruction_P135,1,C5000D,0195
adr_goods_0196,adr_class_1,1.1G,adr_label_1,,,"SIGNALS, SMOKE",adr_packing_instruction_P135,1,B1000C,0196
adr_goods_0197,adr_class_1,1.4G,adr_label_1_4,,,"SIGNALS, SMOKE",adr_packing_instruction_P135,2,E,0197
adr_goods_0204,adr_class_1,1.2F,adr_label_1,,,"SOUNDING DEVICES, EXPLOSIVE","adr_packing_instruction_P134,adr_packing_instruction_LP102",1,B1000C,0204
adr_goods_0207,adr_class_1,1.1D,adr_label_1,,,TETRANITROANILINE,"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0207
adr_goods_0208,adr_class_1,1.1D,adr_label_1,,,TRINITROPHENYLMETHYL-NITRAMINE (TETRYL),"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0208
adr_goods_0209,adr_class_1,1.1D,adr_label_1,,,"TRINITROTOLUENE (TNT), dry or wetted with less than 30% water, by mass","adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0209
adr_goods_0212,adr_class_1,1.3G,adr_label_1,,,TRACERS FOR AMMUNITION,adr_packing_instruction_P133,1,C5000D,0212
adr_goods_0213,adr_class_1,1.1D,adr_label_1,,,TRINITROANISOLE,"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0213
adr_goods_0214,adr_class_1,1.1D,adr_label_1,,,"TRINITROBENZENE, dry or wetted with less than 30% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0214
adr_goods_0215,adr_class_1,1.1D,adr_label_1,,,"TRINITROBENZOIC ACID, dry or wetted with less than 30% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0215
adr_goods_0216,adr_class_1,1.1D,adr_label_1,,,TRINITRO-m-CRESOL,"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0216
adr_goods_0217,adr_class_1,1.1D,adr_label_1,,,TRINITRONAPHTHALENE,"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0217
adr_goods_0218,adr_class_1,1.1D,adr_label_1,,,TRINITROPHENETOLE,"adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0218
adr_goods_0219,adr_class_1,1.1D,adr_label_1,,,"TRINITRORESORCINOL (STYPHNIC ACID), dry or wetted with less than 20% water, or mixture of alcohol and water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0219
adr_goods_0220,adr_class_1,1.1D,adr_label_1,,,"UREA NITRATE, dry or wetted with less than 20% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0220
adr_goods_0221,adr_class_1,1.1D,adr_label_1,,,"WARHEADS, TORPEDO with bursting charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0221
adr_goods_0222,adr_class_1,1.1D,adr_label_1,,,AMMONIUM NITRATE,"adr_packing_instruction_P112b,adr_packing_instruction_P112c,adr_packing_instruction_IBC100",1,B1000C,0222
adr_goods_0224,adr_class_1,1.1A,"adr_label_1,adr_label_6_1",,,"BARIUM AZIDE, dry or wetted with less than 50% water, by mass",adr_packing_instruction_P110b,0,B,0224
adr_goods_0225,adr_class_1,1.1B,adr_label_1,,,BOOSTERS WITH DETONATOR,adr_packing_instruction_P133,1,B1000C,0225
adr_goods_0226,adr_class_1,1.1D,adr_label_1,,,"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX; OCTOGEN), WETTED with not less than 15% water, by mass",adr_packing_instruction_P112a,1,B1000C,0226
adr_goods_0234,adr_class_1,1.3C,adr_label_1,,,"SODIUM DINITRO-o-CRESOLATE, dry or wetted with less than 15% water, by mass","adr_packing_instruction_P114a,adr_packing_instruction_P114b",1,C5000D,0234
adr_goods_0235,adr_class_1,1.3C,adr_label_1,,,"SODIUM PICRAMATE, dry or wetted with less than 20% water, by mass","adr_packing_instruction_P114a,adr_packing_instruction_P114b",1,C5000D,0235
adr_goods_0236,adr_class_1,1.3C,adr_label_1,,,"ZIRCONIUM PICRAMATE, dry or wetted with less than 20% water, by mass","adr_packing_instruction_P114a,adr_packing_instruction_P114b",1,C5000D,0236
adr_goods_0237,adr_class_1,1.4D,adr_label_1_4,,,"CHARGES, SHAPED, FLEXIBLE, LINEAR",adr_packing_instruction_P138,2,E,0237
adr_goods_0238,adr_class_1,1.2G,adr_label_1,,,"ROCKETS, LINE-THROWING",adr_packing_instruction_P130,1,B1000C,0238
adr_goods_0240,adr_class_1,1.3G,adr_label_1,,,"ROCKETS, LINE-THROWING",adr_packing_instruction_P130,1,C5000D,0240
adr_goods_0241,adr_class_1,1.1D,adr_label_1,,,"EXPLOSIVE, BLASTING, TYPE E","adr_packing_instruction_P116,adr_packing_instruction_IBC100",1,B1000C,0241
adr_goods_0242,adr_class_1,1.3C,adr_label_1,,,"CHARGES, PROPELLING, FOR CANNON",adr_packing_instruction_P130,1,C5000D,0242
adr_goods_0243,adr_class_1,1.2H,adr_label_1,,,"AMMUNITION, INCENDIARY, WHITE PHOSPHORUS with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0243
adr_goods_0244,adr_class_1,1.3H,adr_label_1,,,"AMMUNITION, INCENDIARY, WHITE PHOSPHORUS with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C,0244
adr_goods_0245,adr_class_1,1.2H,adr_label_1,,,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0245
adr_goods_0246,adr_class_1,1.3H,adr_label_1,,,"AMMUNITION, SMOKE, WHITE PHOSPHORUS with burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C,0246
adr_goods_0247,adr_class_1,1.3J,adr_label_1,,,"AMMUNITION, INCENDIARY, liquid or gel, with burster, expelling charge or propelling charge",adr_packing_instruction_P101,1,C,0247
adr_goods_0248,adr_class_1,1.2L,adr_label_1,,,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge",adr_packing_instruction_P144,0,B,0248
adr_goods_0249,adr_class_1,1.3L,adr_label_1,,,"CONTRIVANCES, WATER-ACTIVATED with burster, expelling charge or propelling charge",adr_packing_instruction_P144,0,B,0249
adr_goods_0250,adr_class_1,1.3L,adr_label_1,,,ROCKET MOTORS WITH HYPERGOLIC LIQUIDS with or without expelling charge,adr_packing_instruction_P101,0,B,0250
adr_goods_0254,adr_class_1,1.3G,adr_label_1,,,"AMMUNITION, ILLUMINATING with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0254
adr_goods_0255,adr_class_1,1.4B,adr_label_1_4,,,"DETONATORS, ELECTRIC for blasting",adr_packing_instruction_P131,2,E,0255
adr_goods_0257,adr_class_1,1.4B,adr_label_1_4,,,"FUZES, DETONATING",adr_packing_instruction_P141,2,E,0257
adr_goods_0266,adr_class_1,1.1D,adr_label_1,,,"OCTOLITE (OCTOL), dry or wetted with less than 15% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0266
adr_goods_0267,adr_class_1,1.4B,adr_label_1_4,,,"DETONATORS, NON-ELECTRIC for blasting",adr_packing_instruction_P131,2,E,0267
adr_goods_0268,adr_class_1,1.2B,adr_label_1,,,BOOSTERS WITH DETONATOR,adr_packing_instruction_P133,1,B1000C,0268
adr_goods_0271,adr_class_1,1.1C,adr_label_1,,,"CHARGES, PROPELLING",adr_packing_instruction_P143,1,B1000C,0271
adr_goods_0272,adr_class_1,1.3C,adr_label_1,,,"CHARGES, PROPELLING",adr_packing_instruction_P143,1,C5000D,0272
adr_goods_0275,adr_class_1,1.3C,adr_label_1,,,"CARTRIDGES, POWER DEVICE","adr_packing_instruction_P134,adr_packing_instruction_LP102",1,C5000D,0275
