id,class_id:id,classification_code,label_ids:id,limited_quantity,limited_quantity_uom_id:id,name,packing_instruction_ids:id,transport_category,tunnel_restriction_code,un_number
adr_goods_0004_1dot1D_1_P112a/P112b/P112c_1,adr_class_1,1.1D,adr_label_1,,,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass","adr_packing_instruction_P112a,adr_packing_instruction_P112b,adr_packing_instruction_P112c",1,B1000C,0004
adr_goods_0005_1dot1F_1_P130_1,adr_class_1,1.1F,adr_label_1,,,CARTRIDGES FOR WEAPONS with bursting charge,adr_packing_instruction_P130,1,B1000C,0005
adr_goods_0006_1dot1E_1_P130/LP101_1,adr_class_1,1.1E,adr_label_1,,,CARTRIDGES FOR WEAPONS with bursting charge,"adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0006
adr_goods_0007,adr_class_1,1.2F,adr_label_1,,,CARTRIDGES FOR WEAPONS with bursting charge,adr_packing_instruction_P130,1,B1000C,0007
adr_goods_0009,adr_class_1,1.2G,adr_label_1,,,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0009
adr_goods_0010,adr_class_1,1.3G,adr_label_1,,,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0010
adr_goods_0012,adr_class_1,1.4S,adr_label_1_4,5,uom.product_uom_kgm,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE or CARTRIDGES, SMALL ARMS",adr_packing_instruction_P130,4,E,0012
adr_goods_0014,adr_class_1,1.4S,adr_label_1_4,5,uom.product_uom_kgm,"CARTRIDGES FOR WEAPONS, BLANK or CARTRIDGES, SMALL ARMS, BLANK or CARTRIDGE FOR TOOLS, BLANK",adr_packing_instruction_P130,4,E,0014
adr_goods_0015_1dot2G_1_P130/LP101_1,adr_class_1,1.2G,adr_label_1,,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0015
adr_goods_0015_1dot2G_1/8_P130/LP101_1,adr_class_1,1.2G,"adr_label_1,adr_label_8",,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge, containing corrosive substances","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0015
adr_goods_0015_1dot2G_1/6dot1_P130/LP101_1,adr_class_1,1.2G,"adr_label_1,adr_label_6_1",,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge, containing toxic by inhalation substances","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,B1000C,0015
adr_goods_0016_1dot3G_1_P130/LP101_1,adr_class_1,1.3G,adr_label_1,,,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge","adr_packing_instruction_P130,adr_packing_instruction_LP101",1,C5000D,0016
